,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.689,0.694,6,-5.83,0,0.027,0.257,0.0,0.148,0.482,99.039,audio_features,47BBI51FKFwOMlIiX6m8ya,spotify:track:47BBI51FKFwOMlIiX6m8ya,https://api.spotify.com/v1/tracks/47BBI51FKFwOMlIiX6m8ya,https://api.spotify.com/v1/audio-analysis/47BBI51FKFwOMlIiX6m8ya,213307,4
1,0.63,0.625,6,-5.088,0,0.0252,0.231,0.0,0.0765,0.683,167.998,audio_features,3BsaRV5QIulYz2lV9WWa8T,spotify:track:3BsaRV5QIulYz2lV9WWa8T,https://api.spotify.com/v1/tracks/3BsaRV5QIulYz2lV9WWa8T,https://api.spotify.com/v1/audio-analysis/3BsaRV5QIulYz2lV9WWa8T,234960,4
2,0.575,0.786,9,-4.353,1,0.0296,0.252,0.0,0.159,0.518,96.102,audio_features,35o9a4iAfLl5jRmqMX9c1D,spotify:track:35o9a4iAfLl5jRmqMX9c1D,https://api.spotify.com/v1/tracks/35o9a4iAfLl5jRmqMX9c1D,https://api.spotify.com/v1/audio-analysis/35o9a4iAfLl5jRmqMX9c1D,230093,4
3,0.661,0.973,0,-2.994,0,0.037,0.11,1.74e-05,0.617,0.75,108.037,audio_features,6sbXGUn9V9ZaLwLdOfpKRE,spotify:track:6sbXGUn9V9ZaLwLdOfpKRE,https://api.spotify.com/v1/tracks/6sbXGUn9V9ZaLwLdOfpKRE,https://api.spotify.com/v1/audio-analysis/6sbXGUn9V9ZaLwLdOfpKRE,232827,4
4,0.663,0.934,5,-4.227,0,0.0348,0.0646,0.0,0.164,0.621,110.031,audio_features,44kgtDJyAFv4Z01z7bIxco,spotify:track:44kgtDJyAFv4Z01z7bIxco,https://api.spotify.com/v1/tracks/44kgtDJyAFv4Z01z7bIxco,https://api.spotify.com/v1/audio-analysis/44kgtDJyAFv4Z01z7bIxco,226933,4
5,0.696,0.874,10,-3.318,0,0.0772,0.117,0.0,0.331,0.747,104.196,audio_features,1mxTCArq9EhSg4QPGqhjhT,spotify:track:1mxTCArq9EhSg4QPGqhjhT,https://api.spotify.com/v1/tracks/1mxTCArq9EhSg4QPGqhjhT,https://api.spotify.com/v1/audio-analysis/1mxTCArq9EhSg4QPGqhjhT,204800,4
6,0.58,0.729,4,-6.705,0,0.0287,0.0102,0.0,0.0805,0.483,80.061,audio_features,4XRUKxDIn28c7uHEzbGFgj,spotify:track:4XRUKxDIn28c7uHEzbGFgj,https://api.spotify.com/v1/tracks/4XRUKxDIn28c7uHEzbGFgj,https://api.spotify.com/v1/audio-analysis/4XRUKxDIn28c7uHEzbGFgj,224933,4
7,0.437,0.589,4,-4.834,1,0.0331,0.231,0.0,0.0768,0.165,133.631,audio_features,0CnD7Hiw6pae6rLsZw5q5W,spotify:track:0CnD7Hiw6pae6rLsZw5q5W,https://api.spotify.com/v1/tracks/0CnD7Hiw6pae6rLsZw5q5W,https://api.spotify.com/v1/audio-analysis/0CnD7Hiw6pae6rLsZw5q5W,239587,4
8,0.568,0.782,6,-5.968,1,0.0396,0.0799,0.0,0.0985,0.481,141.942,audio_features,0AiTIiCQ15NW8QHQwSxKuR,spotify:track:0AiTIiCQ15NW8QHQwSxKuR,https://api.spotify.com/v1/tracks/0AiTIiCQ15NW8QHQwSxKuR,https://api.spotify.com/v1/audio-analysis/0AiTIiCQ15NW8QHQwSxKuR,267227,4
9,0.661,0.548,6,-8.433,1,0.0234,0.365,0.0,0.111,0.537,93.0,audio_features,6gPVAM9CNj1uQQtGK0eYzZ,spotify:track:6gPVAM9CNj1uQQtGK0eYzZ,https://api.spotify.com/v1/tracks/6gPVAM9CNj1uQQtGK0eYzZ,https://api.spotify.com/v1/audio-analysis/6gPVAM9CNj1uQQtGK0eYzZ,235200,4
10,0.685,0.963,10,-2.675,1,0.0336,0.0254,6.65e-06,0.33,0.916,110.025,audio_features,464iersUDsSz3mIToTEWvK,spotify:track:464iersUDsSz3mIToTEWvK,https://api.spotify.com/v1/tracks/464iersUDsSz3mIToTEWvK,https://api.spotify.com/v1/audio-analysis/464iersUDsSz3mIToTEWvK,209573,4
11,0.731,0.853,10,-4.219,0,0.0363,0.0352,0.0,0.268,0.605,108.016,audio_features,1di1BEgJYzPvXUuinsYJGP,spotify:track:1di1BEgJYzPvXUuinsYJGP,https://api.spotify.com/v1/tracks/1di1BEgJYzPvXUuinsYJGP,https://api.spotify.com/v1/audio-analysis/1di1BEgJYzPvXUuinsYJGP,225360,4
12,0.73,0.638,6,-5.32,0,0.0336,0.0999,0.0,0.131,0.893,103.049,audio_features,2EgIkNeq1Tsx1JamvF6JWg,spotify:track:2EgIkNeq1Tsx1JamvF6JWg,https://api.spotify.com/v1/tracks/2EgIkNeq1Tsx1JamvF6JWg,https://api.spotify.com/v1/audio-analysis/2EgIkNeq1Tsx1JamvF6JWg,206493,4
13,0.772,0.901,0,-3.568,1,0.0395,0.086,0.0,0.0761,0.842,116.042,audio_features,2vZALCthE0GRzGXXGK67Qt,spotify:track:2vZALCthE0GRzGXXGK67Qt,https://api.spotify.com/v1/tracks/2vZALCthE0GRzGXXGK67Qt,https://api.spotify.com/v1/audio-analysis/2vZALCthE0GRzGXXGK67Qt,177333,4
14,0.738,0.75,2,-5.034,0,0.135,0.0323,0.0,0.102,0.801,96.112,audio_features,3nx5PkGa2sJyXVJzqE4eYM,spotify:track:3nx5PkGa2sJyXVJzqE4eYM,https://api.spotify.com/v1/tracks/3nx5PkGa2sJyXVJzqE4eYM,https://api.spotify.com/v1/audio-analysis/3nx5PkGa2sJyXVJzqE4eYM,186107,4
15,0.446,0.468,11,-9.844,1,0.0323,0.235,0.0,0.0963,0.223,169.983,audio_features,5VjlmjJ1peXIjcuecCdfx1,spotify:track:5VjlmjJ1peXIjcuecCdfx1,https://api.spotify.com/v1/tracks/5VjlmjJ1peXIjcuecCdfx1,https://api.spotify.com/v1/audio-analysis/5VjlmjJ1peXIjcuecCdfx1,263307,4
16,0.8,0.825,11,-6.552,0,0.034,0.0559,2.18e-06,0.141,0.903,100.035,audio_features,0Uqs7ilt5kGX9NzFDWTBrP,spotify:track:0Uqs7ilt5kGX9NzFDWTBrP,https://api.spotify.com/v1/tracks/0Uqs7ilt5kGX9NzFDWTBrP,https://api.spotify.com/v1/audio-analysis/0Uqs7ilt5kGX9NzFDWTBrP,232667,4
17,0.804,0.801,0,-4.892,1,0.0305,0.275,3.29e-05,0.215,0.826,98.12,audio_features,3UpS7kBnkVQYG13pDDFTC4,spotify:track:3UpS7kBnkVQYG13pDDFTC4,https://api.spotify.com/v1/tracks/3UpS7kBnkVQYG13pDDFTC4,https://api.spotify.com/v1/audio-analysis/3UpS7kBnkVQYG13pDDFTC4,221107,4
18,0.804,0.801,0,-4.892,1,0.0305,0.275,3.29e-05,0.215,0.826,98.12,audio_features,3UpS7kBnkVQYG13pDDFTC4,spotify:track:3UpS7kBnkVQYG13pDDFTC4,https://api.spotify.com/v1/tracks/3UpS7kBnkVQYG13pDDFTC4,https://api.spotify.com/v1/audio-analysis/3UpS7kBnkVQYG13pDDFTC4,221107,4
19,0.757,0.868,3,-4.986,0,0.0358,0.0953,0.0,0.244,0.929,112.973,audio_features,7qD9lD0dabABT6y3Vw3uVX,spotify:track:7qD9lD0dabABT6y3Vw3uVX,https://api.spotify.com/v1/tracks/7qD9lD0dabABT6y3Vw3uVX,https://api.spotify.com/v1/audio-analysis/7qD9lD0dabABT6y3Vw3uVX,219467,4
