,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.781,0.445,2,-6.061,1,0.0295,0.474,0.0,0.184,0.591,78.998,audio_features,34gCuhDGsG4bRPIf9bb02f,spotify:track:34gCuhDGsG4bRPIf9bb02f,https://api.spotify.com/v1/tracks/34gCuhDGsG4bRPIf9bb02f,https://api.spotify.com/v1/audio-analysis/34gCuhDGsG4bRPIf9bb02f,281560,4
1,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,audio_features,7qiZfU4dY1lWllzX7mPBI3,spotify:track:7qiZfU4dY1lWllzX7mPBI3,https://api.spotify.com/v1/tracks/7qiZfU4dY1lWllzX7mPBI3,https://api.spotify.com/v1/audio-analysis/7qiZfU4dY1lWllzX7mPBI3,233713,4
2,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,audio_features,1HNkqx9Ahdgi1Ixy2xkKkL,spotify:track:1HNkqx9Ahdgi1Ixy2xkKkL,https://api.spotify.com/v1/tracks/1HNkqx9Ahdgi1Ixy2xkKkL,https://api.spotify.com/v1/audio-analysis/1HNkqx9Ahdgi1Ixy2xkKkL,258987,4
3,0.777,0.526,2,-6.221,1,0.0645,0.302,0.0,0.105,0.389,107.071,audio_features,3p7XQpdt8Dr6oMXSvRZ9bg,spotify:track:3p7XQpdt8Dr6oMXSvRZ9bg,https://api.spotify.com/v1/tracks/3p7XQpdt8Dr6oMXSvRZ9bg,https://api.spotify.com/v1/audio-analysis/3p7XQpdt8Dr6oMXSvRZ9bg,194849,4
4,0.818,0.67,8,-4.451,0,0.0472,0.304,1.22e-06,0.0601,0.939,119.988,audio_features,6K8qKeWo5MsFED7wCR6Kop,spotify:track:6K8qKeWo5MsFED7wCR6Kop,https://api.spotify.com/v1/tracks/6K8qKeWo5MsFED7wCR6Kop,https://api.spotify.com/v1/audio-analysis/6K8qKeWo5MsFED7wCR6Kop,235382,4
5,0.642,0.289,9,-9.918,1,0.0367,0.669,0.0,0.18,0.407,84.996,audio_features,1XpYodsD36XN7ygcdF7mJJ,spotify:track:1XpYodsD36XN7ygcdF7mJJ,https://api.spotify.com/v1/tracks/1XpYodsD36XN7ygcdF7mJJ,https://api.spotify.com/v1/audio-analysis/1XpYodsD36XN7ygcdF7mJJ,258373,4
6,0.788,0.859,2,-2.724,1,0.0856,0.281,0.0,0.0424,0.822,141.02,audio_features,3xWGA8pa0IKFI7IMPri4P0,spotify:track:3xWGA8pa0IKFI7IMPri4P0,https://api.spotify.com/v1/tracks/3xWGA8pa0IKFI7IMPri4P0,https://api.spotify.com/v1/audio-analysis/3xWGA8pa0IKFI7IMPri4P0,207853,4
7,0.461,0.834,2,-4.868,1,0.0989,0.0232,1.14e-05,0.14,0.471,135.007,audio_features,6PCUP3dWmTjcTtXY02oFdT,spotify:track:6PCUP3dWmTjcTtXY02oFdT,https://api.spotify.com/v1/tracks/6PCUP3dWmTjcTtXY02oFdT,https://api.spotify.com/v1/audio-analysis/6PCUP3dWmTjcTtXY02oFdT,261154,4
8,0.807,0.893,11,-3.745,0,0.0347,0.0451,2.79e-05,0.366,0.537,126.011,audio_features,6ex1Pz3pntgy4NPtxHXN2V,spotify:track:6ex1Pz3pntgy4NPtxHXN2V,https://api.spotify.com/v1/tracks/6ex1Pz3pntgy4NPtxHXN2V,https://api.spotify.com/v1/audio-analysis/6ex1Pz3pntgy4NPtxHXN2V,230747,4
9,0.592,0.637,11,-8.48,1,0.0992,0.562,0.0,0.13,0.565,159.701,audio_features,5ubHAQtKuFfiG4FXfLP804,spotify:track:5ubHAQtKuFfiG4FXfLP804,https://api.spotify.com/v1/tracks/5ubHAQtKuFfiG4FXfLP804,https://api.spotify.com/v1/audio-analysis/5ubHAQtKuFfiG4FXfLP804,185093,4
10,0.599,0.448,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05,audio_features,0tgVpDi06FyKpA1z0VMD4v,spotify:track:0tgVpDi06FyKpA1z0VMD4v,https://api.spotify.com/v1/tracks/0tgVpDi06FyKpA1z0VMD4v,https://api.spotify.com/v1/audio-analysis/0tgVpDi06FyKpA1z0VMD4v,263400,3
11,0.574,0.852,2,-1.248,1,0.0397,0.0529,0.0,0.161,0.501,123.038,audio_features,4zrKN5Sv8JS5mqnbVcsul7,spotify:track:4zrKN5Sv8JS5mqnbVcsul7,https://api.spotify.com/v1/tracks/4zrKN5Sv8JS5mqnbVcsul7,https://api.spotify.com/v1/audio-analysis/4zrKN5Sv8JS5mqnbVcsul7,209027,4
12,0.624,0.876,9,-3.374,1,0.1,0.0735,0.0,0.327,0.781,99.943,audio_features,0afhq8XCExXpqazXczTSve,spotify:track:0afhq8XCExXpqazXczTSve,https://api.spotify.com/v1/tracks/0afhq8XCExXpqazXczTSve,https://api.spotify.com/v1/audio-analysis/0afhq8XCExXpqazXczTSve,170827,4
13,0.504,0.762,2,-6.42,1,0.057,0.095,1.27e-06,0.338,0.44,176.013,audio_features,6ZZf5a8oiInHDkBe9zXfLP,spotify:track:6ZZf5a8oiInHDkBe9zXfLP,https://api.spotify.com/v1/tracks/6ZZf5a8oiInHDkBe9zXfLP,https://api.spotify.com/v1/audio-analysis/6ZZf5a8oiInHDkBe9zXfLP,224804,4
14,0.74,0.652,0,-5.668,1,0.0601,0.736,0.0,0.348,0.715,105.025,audio_features,4rDvBpFgKbgJepZTaP0rD6,spotify:track:4rDvBpFgKbgJepZTaP0rD6,https://api.spotify.com/v1/tracks/4rDvBpFgKbgJepZTaP0rD6,https://api.spotify.com/v1/audio-analysis/4rDvBpFgKbgJepZTaP0rD6,197976,4
15,0.798,0.676,6,-5.041,1,0.0442,0.0902,0.0,0.0894,0.843,101.956,audio_features,3HVWdVOQ0ZA45FuZGSfvns,spotify:track:3HVWdVOQ0ZA45FuZGSfvns,https://api.spotify.com/v1/tracks/3HVWdVOQ0ZA45FuZGSfvns,https://api.spotify.com/v1/audio-analysis/3HVWdVOQ0ZA45FuZGSfvns,219947,4
16,0.52,0.849,9,-3.794,0,0.186,0.00253,0.0,0.119,0.774,175.908,audio_features,4btFHqumCO31GksfuBLLv3,spotify:track:4btFHqumCO31GksfuBLLv3,https://api.spotify.com/v1/tracks/4btFHqumCO31GksfuBLLv3,https://api.spotify.com/v1/audio-analysis/4btFHqumCO31GksfuBLLv3,236907,4
17,0.526,0.328,1,-9.864,1,0.0461,0.694,0.0,0.112,0.11,116.068,audio_features,0SuG9kyzGRpDqrCWtgD6Lq,spotify:track:0SuG9kyzGRpDqrCWtgD6Lq,https://api.spotify.com/v1/tracks/0SuG9kyzGRpDqrCWtgD6Lq,https://api.spotify.com/v1/audio-analysis/0SuG9kyzGRpDqrCWtgD6Lq,526387,4
18,0.53,0.346,8,-10.497,1,0.0376,0.697,1.07e-05,0.105,0.359,121.876,audio_features,5rYipCuUMXmKr5XM3eDC1r,spotify:track:5rYipCuUMXmKr5XM3eDC1r,https://api.spotify.com/v1/tracks/5rYipCuUMXmKr5XM3eDC1r,https://api.spotify.com/v1/audio-analysis/5rYipCuUMXmKr5XM3eDC1r,241347,4
19,0.715,0.194,4,-8.615,1,0.0329,0.726,1.14e-06,0.36,0.367,102.855,audio_features,6jemILri7l5LuPhKs2nuXr,spotify:track:6jemILri7l5LuPhKs2nuXr,https://api.spotify.com/v1/tracks/6jemILri7l5LuPhKs2nuXr,https://api.spotify.com/v1/audio-analysis/6jemILri7l5LuPhKs2nuXr,185676,4
