,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.615,0.977,1,-2.331,1,0.108,0.00616,0.00229,0.349,0.59,96.042,audio_features,4AmsxBuvjbrjytfHMcEoov,spotify:track:4AmsxBuvjbrjytfHMcEoov,https://api.spotify.com/v1/tracks/4AmsxBuvjbrjytfHMcEoov,https://api.spotify.com/v1/audio-analysis/4AmsxBuvjbrjytfHMcEoov,233240,4
1,0.521,0.989,10,-0.755,0,0.157,0.00285,0.00116,0.346,0.432,158.036,audio_features,0hnTPdm3w4MzlBKc6ViOIP,spotify:track:0hnTPdm3w4MzlBKc6ViOIP,https://api.spotify.com/v1/tracks/0hnTPdm3w4MzlBKc6ViOIP,https://api.spotify.com/v1/audio-analysis/0hnTPdm3w4MzlBKc6ViOIP,235159,4
2,0.483,0.97,7,-2.334,0,0.356,0.0013,0.0,0.308,0.374,149.842,audio_features,4HFlBhRFp14CcbD8RReUB8,spotify:track:4HFlBhRFp14CcbD8RReUB8,https://api.spotify.com/v1/tracks/4HFlBhRFp14CcbD8RReUB8,https://api.spotify.com/v1/audio-analysis/4HFlBhRFp14CcbD8RReUB8,190482,4
3,0.434,0.929,1,-2.749,1,0.147,0.000207,0.00109,0.0916,0.428,92.541,audio_features,7CAbF0By0Fpnbiu6Xn5ZF7,spotify:track:7CAbF0By0Fpnbiu6Xn5ZF7,https://api.spotify.com/v1/tracks/7CAbF0By0Fpnbiu6Xn5ZF7,https://api.spotify.com/v1/audio-analysis/7CAbF0By0Fpnbiu6Xn5ZF7,220042,4
4,0.457,0.918,2,-3.953,0,0.0508,0.000896,3.08e-06,0.323,0.486,96.016,audio_features,0zMElbRUCQU6Y2CnEO3jGY,spotify:track:0zMElbRUCQU6Y2CnEO3jGY,https://api.spotify.com/v1/tracks/0zMElbRUCQU6Y2CnEO3jGY,https://api.spotify.com/v1/audio-analysis/0zMElbRUCQU6Y2CnEO3jGY,242144,4
5,0.359,0.963,7,-2.045,1,0.182,2.65e-05,2.84e-05,0.346,0.418,179.965,audio_features,590KvwnYag62VRzmXM7dOk,spotify:track:590KvwnYag62VRzmXM7dOk,https://api.spotify.com/v1/tracks/590KvwnYag62VRzmXM7dOk,https://api.spotify.com/v1/audio-analysis/590KvwnYag62VRzmXM7dOk,202000,4
6,0.519,0.909,4,-6.599,0,0.13,0.000876,0.00295,0.536,0.579,144.992,audio_features,2DtrdqKfrcDaTSDjQlmP7u,spotify:track:2DtrdqKfrcDaTSDjQlmP7u,https://api.spotify.com/v1/tracks/2DtrdqKfrcDaTSDjQlmP7u,https://api.spotify.com/v1/audio-analysis/2DtrdqKfrcDaTSDjQlmP7u,263011,4
7,0.411,0.955,1,-3.324,1,0.245,0.00704,0.0,0.371,0.41,193.021,audio_features,5WQAussByRFjUWYQDowtHE,spotify:track:5WQAussByRFjUWYQDowtHE,https://api.spotify.com/v1/tracks/5WQAussByRFjUWYQDowtHE,https://api.spotify.com/v1/audio-analysis/5WQAussByRFjUWYQDowtHE,259192,4
8,0.363,0.943,0,-4.427,1,0.112,3.29e-05,0.000609,0.341,0.346,185.1,audio_features,520l4lqa1RwQZOhc643ioN,spotify:track:520l4lqa1RwQZOhc643ioN,https://api.spotify.com/v1/tracks/520l4lqa1RwQZOhc643ioN,https://api.spotify.com/v1/audio-analysis/520l4lqa1RwQZOhc643ioN,177405,4
9,0.455,0.965,2,-1.063,1,0.114,0.00139,0.000286,0.334,0.525,147.887,audio_features,7G2058kv6bTefOlFkvAKHz,spotify:track:7G2058kv6bTefOlFkvAKHz,https://api.spotify.com/v1/tracks/7G2058kv6bTefOlFkvAKHz,https://api.spotify.com/v1/audio-analysis/7G2058kv6bTefOlFkvAKHz,247066,4
10,0.394,0.964,6,-1.657,1,0.0621,2.4e-06,0.0026,0.126,0.34,143.932,audio_features,5mFKFCT5LXuxTLcrcpoCvp,spotify:track:5mFKFCT5LXuxTLcrcpoCvp,https://api.spotify.com/v1/tracks/5mFKFCT5LXuxTLcrcpoCvp,https://api.spotify.com/v1/audio-analysis/5mFKFCT5LXuxTLcrcpoCvp,212951,4
11,0.357,0.984,6,-1.964,0,0.156,2.54e-05,0.0161,0.381,0.235,163.081,audio_features,5YxsacH67NL0mT0G9RaGl9,spotify:track:5YxsacH67NL0mT0G9RaGl9,https://api.spotify.com/v1/tracks/5YxsacH67NL0mT0G9RaGl9,https://api.spotify.com/v1/audio-analysis/5YxsacH67NL0mT0G9RaGl9,228187,4
12,0.406,0.959,1,-2.871,1,0.115,8.15e-05,0.0826,0.282,0.394,195.036,audio_features,5j1MbHZengNhN5VyQEjvof,spotify:track:5j1MbHZengNhN5VyQEjvof,https://api.spotify.com/v1/tracks/5j1MbHZengNhN5VyQEjvof,https://api.spotify.com/v1/audio-analysis/5j1MbHZengNhN5VyQEjvof,184359,4
13,0.32,0.991,1,-1.047,0,0.193,7.18e-05,0.0,0.209,0.185,175.879,audio_features,5062X2MkfiRzOQYuwRt4SN,spotify:track:5062X2MkfiRzOQYuwRt4SN,https://api.spotify.com/v1/tracks/5062X2MkfiRzOQYuwRt4SN,https://api.spotify.com/v1/audio-analysis/5062X2MkfiRzOQYuwRt4SN,171252,4
14,0.466,0.977,5,-2.193,0,0.0682,3.69e-05,1.21e-05,0.323,0.559,96.044,audio_features,5Hm5PH9jfMxxjM6Ydo6itr,spotify:track:5Hm5PH9jfMxxjM6Ydo6itr,https://api.spotify.com/v1/tracks/5Hm5PH9jfMxxjM6Ydo6itr,https://api.spotify.com/v1/audio-analysis/5Hm5PH9jfMxxjM6Ydo6itr,215773,4
15,0.51,0.994,8,-2.946,1,0.148,0.000108,0.0,0.166,0.575,96.552,audio_features,0r23HkCb5X65kN1v6YLDne,spotify:track:0r23HkCb5X65kN1v6YLDne,https://api.spotify.com/v1/tracks/0r23HkCb5X65kN1v6YLDne,https://api.spotify.com/v1/audio-analysis/0r23HkCb5X65kN1v6YLDne,170840,4
16,0.482,0.964,2,-2.931,0,0.15,0.00549,0.0,0.148,0.323,102.036,audio_features,55zQlJtcL2eu8ocIVFCHqJ,spotify:track:55zQlJtcL2eu8ocIVFCHqJ,https://api.spotify.com/v1/tracks/55zQlJtcL2eu8ocIVFCHqJ,https://api.spotify.com/v1/audio-analysis/55zQlJtcL2eu8ocIVFCHqJ,186252,4
17,0.271,0.914,2,-4.083,1,0.231,0.000141,2.53e-05,0.278,0.467,159.746,audio_features,0XuctrPVJmwNifmEaoC5Bj,spotify:track:0XuctrPVJmwNifmEaoC5Bj,https://api.spotify.com/v1/tracks/0XuctrPVJmwNifmEaoC5Bj,https://api.spotify.com/v1/audio-analysis/0XuctrPVJmwNifmEaoC5Bj,159519,3
18,0.303,0.938,11,-4.083,1,0.0955,0.000569,9.28e-05,0.109,0.469,200.365,audio_features,0V0fpYS9yNYx4skbevosp5,spotify:track:0V0fpYS9yNYx4skbevosp5,https://api.spotify.com/v1/tracks/0V0fpYS9yNYx4skbevosp5,https://api.spotify.com/v1/audio-analysis/0V0fpYS9yNYx4skbevosp5,218604,4
19,0.573,0.995,9,-1.071,1,0.156,0.000294,0.317,0.239,0.372,138.038,audio_features,00xo1gA6EsfWW8xHaaAvom,spotify:track:00xo1gA6EsfWW8xHaaAvom,https://api.spotify.com/v1/tracks/00xo1gA6EsfWW8xHaaAvom,https://api.spotify.com/v1/audio-analysis/00xo1gA6EsfWW8xHaaAvom,220692,4
20,0.604,0.928,4,-2.979,0,0.0817,0.00157,0.0,0.0813,0.757,134.962,audio_features,4WfVt25p2m1XlGZ0jGgVNM,spotify:track:4WfVt25p2m1XlGZ0jGgVNM,https://api.spotify.com/v1/tracks/4WfVt25p2m1XlGZ0jGgVNM,https://api.spotify.com/v1/audio-analysis/4WfVt25p2m1XlGZ0jGgVNM,229537,4
21,0.463,0.983,5,-0.735,0,0.151,0.00465,0.0729,0.0698,0.266,103.462,audio_features,3tAX0Ok5tv1mReOcHEJLz5,spotify:track:3tAX0Ok5tv1mReOcHEJLz5,https://api.spotify.com/v1/tracks/3tAX0Ok5tv1mReOcHEJLz5,https://api.spotify.com/v1/audio-analysis/3tAX0Ok5tv1mReOcHEJLz5,241159,4
22,0.349,0.896,1,-3.2,1,0.0603,7.25e-05,0.0562,0.349,0.116,139.971,audio_features,6FSCClIrk0Q1DhXnjUZWef,spotify:track:6FSCClIrk0Q1DhXnjUZWef,https://api.spotify.com/v1/tracks/6FSCClIrk0Q1DhXnjUZWef,https://api.spotify.com/v1/audio-analysis/6FSCClIrk0Q1DhXnjUZWef,271458,4
23,0.341,0.982,8,-1.341,0,0.132,0.00161,0.0,0.355,0.798,134.065,audio_features,692JISES18uZusvATsmv5h,spotify:track:692JISES18uZusvATsmv5h,https://api.spotify.com/v1/tracks/692JISES18uZusvATsmv5h,https://api.spotify.com/v1/audio-analysis/692JISES18uZusvATsmv5h,214587,4
24,0.518,0.977,9,-1.585,1,0.147,0.000601,0.00624,0.195,0.304,102.506,audio_features,3LQU6oUQDfZesf4hDP47um,spotify:track:3LQU6oUQDfZesf4hDP47um,https://api.spotify.com/v1/tracks/3LQU6oUQDfZesf4hDP47um,https://api.spotify.com/v1/audio-analysis/3LQU6oUQDfZesf4hDP47um,235390,4
25,0.53,0.98,4,-2.332,0,0.131,0.00087,0.0,0.315,0.6,91.951,audio_features,2F6xe9dMXC32vfyU0lRs2N,spotify:track:2F6xe9dMXC32vfyU0lRs2N,https://api.spotify.com/v1/tracks/2F6xe9dMXC32vfyU0lRs2N,https://api.spotify.com/v1/audio-analysis/2F6xe9dMXC32vfyU0lRs2N,255840,4
26,0.507,0.966,6,-4.046,1,0.0952,0.000382,1.26e-06,0.349,0.752,125.913,audio_features,37vujUbX37xoBmwoddMYck,spotify:track:37vujUbX37xoBmwoddMYck,https://api.spotify.com/v1/tracks/37vujUbX37xoBmwoddMYck,https://api.spotify.com/v1/audio-analysis/37vujUbX37xoBmwoddMYck,208964,4
27,0.399,0.995,6,-1.655,1,0.109,2.1e-05,0.122,0.0974,0.339,99.946,audio_features,0E35DSYyMwlhySsuo9TxZJ,spotify:track:0E35DSYyMwlhySsuo9TxZJ,https://api.spotify.com/v1/tracks/0E35DSYyMwlhySsuo9TxZJ,https://api.spotify.com/v1/audio-analysis/0E35DSYyMwlhySsuo9TxZJ,196613,4
28,0.4,0.973,8,-2.682,1,0.0831,0.021,0.0,0.16,0.683,184.123,audio_features,7Jj6eiasbU7LVPXqZKBaNf,spotify:track:7Jj6eiasbU7LVPXqZKBaNf,https://api.spotify.com/v1/tracks/7Jj6eiasbU7LVPXqZKBaNf,https://api.spotify.com/v1/audio-analysis/7Jj6eiasbU7LVPXqZKBaNf,176915,4
29,0.484,0.938,4,-3.41,1,0.109,0.0179,0.0,0.335,0.767,139.93,audio_features,2j2hNsXiPDrLqm7WAEaZNr,spotify:track:2j2hNsXiPDrLqm7WAEaZNr,https://api.spotify.com/v1/tracks/2j2hNsXiPDrLqm7WAEaZNr,https://api.spotify.com/v1/audio-analysis/2j2hNsXiPDrLqm7WAEaZNr,226627,4
30,0.547,0.987,1,-3.71,0,0.0783,0.000133,0.000303,0.343,0.382,104.086,audio_features,6euwgOanJOzsBeZUDTbx29,spotify:track:6euwgOanJOzsBeZUDTbx29,https://api.spotify.com/v1/tracks/6euwgOanJOzsBeZUDTbx29,https://api.spotify.com/v1/audio-analysis/6euwgOanJOzsBeZUDTbx29,188960,4
31,0.553,0.959,8,-1.852,1,0.0889,0.000358,0.0,0.163,0.301,103.483,audio_features,0a2ZxQPBJ6yuKVzwOo3TIq,spotify:track:0a2ZxQPBJ6yuKVzwOo3TIq,https://api.spotify.com/v1/tracks/0a2ZxQPBJ6yuKVzwOo3TIq,https://api.spotify.com/v1/audio-analysis/0a2ZxQPBJ6yuKVzwOo3TIq,203500,4
32,0.324,0.976,6,-3.632,1,0.31,3.16e-05,0.000433,0.186,0.319,188.124,audio_features,5JvUIJJ4c3vjaxK214O7Bg,spotify:track:5JvUIJJ4c3vjaxK214O7Bg,https://api.spotify.com/v1/tracks/5JvUIJJ4c3vjaxK214O7Bg,https://api.spotify.com/v1/audio-analysis/5JvUIJJ4c3vjaxK214O7Bg,221091,4
33,0.462,0.98,0,-2.646,1,0.141,9.06e-06,0.582,0.263,0.159,119.952,audio_features,3oi1cOCFkob8XNSWnPaT0D,spotify:track:3oi1cOCFkob8XNSWnPaT0D,https://api.spotify.com/v1/tracks/3oi1cOCFkob8XNSWnPaT0D,https://api.spotify.com/v1/audio-analysis/3oi1cOCFkob8XNSWnPaT0D,224107,4
34,0.403,0.962,6,-2.971,0,0.121,0.0262,0.0,0.107,0.468,150.905,audio_features,0sHbdxyepJ11nCCUEOin35,spotify:track:0sHbdxyepJ11nCCUEOin35,https://api.spotify.com/v1/tracks/0sHbdxyepJ11nCCUEOin35,https://api.spotify.com/v1/audio-analysis/0sHbdxyepJ11nCCUEOin35,282165,4
35,0.405,0.984,6,-0.377,0,0.1,0.000235,0.0,0.0475,0.362,134.986,audio_features,2N3PQZZ2jS8QeiBw8ywTrO,spotify:track:2N3PQZZ2jS8QeiBw8ywTrO,https://api.spotify.com/v1/tracks/2N3PQZZ2jS8QeiBw8ywTrO,https://api.spotify.com/v1/audio-analysis/2N3PQZZ2jS8QeiBw8ywTrO,241653,4
36,0.478,0.984,7,-2.08,1,0.119,0.000786,0.0,0.344,0.32,101.931,audio_features,4mTfI8XzggAIzYZZjWSkU9,spotify:track:4mTfI8XzggAIzYZZjWSkU9,https://api.spotify.com/v1/tracks/4mTfI8XzggAIzYZZjWSkU9,https://api.spotify.com/v1/audio-analysis/4mTfI8XzggAIzYZZjWSkU9,243400,4
37,0.474,0.984,1,-2.982,1,0.0997,1.1e-05,0.411,0.337,0.235,141.912,audio_features,6IExKgiGLwERhYLUZRh3Ad,spotify:track:6IExKgiGLwERhYLUZRh3Ad,https://api.spotify.com/v1/tracks/6IExKgiGLwERhYLUZRh3Ad,https://api.spotify.com/v1/audio-analysis/6IExKgiGLwERhYLUZRh3Ad,250465,4
38,0.398,0.932,7,-2.396,1,0.0636,4.21e-06,0.283,0.466,0.224,109.84,audio_features,5gzlFI9vHINA48pTJD7PeA,spotify:track:5gzlFI9vHINA48pTJD7PeA,https://api.spotify.com/v1/tracks/5gzlFI9vHINA48pTJD7PeA,https://api.spotify.com/v1/audio-analysis/5gzlFI9vHINA48pTJD7PeA,101307,4
39,0.499,0.963,0,-2.184,0,0.108,0.000838,0.00062,0.28,0.338,106.049,audio_features,1YarhAkZcl1GNimgXyPvET,spotify:track:1YarhAkZcl1GNimgXyPvET,https://api.spotify.com/v1/tracks/1YarhAkZcl1GNimgXyPvET,https://api.spotify.com/v1/audio-analysis/1YarhAkZcl1GNimgXyPvET,235932,4
40,0.559,0.873,0,-4.401,0,0.0544,0.0281,0.0,0.185,0.797,150.054,audio_features,1QkEUbGSlp70DYNFcxcxYI,spotify:track:1QkEUbGSlp70DYNFcxcxYI,https://api.spotify.com/v1/tracks/1QkEUbGSlp70DYNFcxcxYI,https://api.spotify.com/v1/audio-analysis/1QkEUbGSlp70DYNFcxcxYI,209636,4
41,0.381,0.963,4,-1.714,1,0.0673,0.00336,0.0,0.231,0.506,89.451,audio_features,6P0RocRd21jJxs3E9vQoNH,spotify:track:6P0RocRd21jJxs3E9vQoNH,https://api.spotify.com/v1/tracks/6P0RocRd21jJxs3E9vQoNH,https://api.spotify.com/v1/audio-analysis/6P0RocRd21jJxs3E9vQoNH,232267,4
42,0.506,0.982,7,-1.904,1,0.117,0.000111,0.0,0.121,0.28,124.893,audio_features,72HqcpqN3iC64FKqyfRQLc,spotify:track:72HqcpqN3iC64FKqyfRQLc,https://api.spotify.com/v1/tracks/72HqcpqN3iC64FKqyfRQLc,https://api.spotify.com/v1/audio-analysis/72HqcpqN3iC64FKqyfRQLc,238633,4
43,0.511,0.965,9,-1.961,1,0.0891,0.00651,0.00021,0.362,0.385,96.539,audio_features,1rgncjmlpHMP3DBhpagyVb,spotify:track:1rgncjmlpHMP3DBhpagyVb,https://api.spotify.com/v1/tracks/1rgncjmlpHMP3DBhpagyVb,https://api.spotify.com/v1/audio-analysis/1rgncjmlpHMP3DBhpagyVb,228960,4
44,0.457,0.944,9,-2.687,1,0.0782,0.00132,1.37e-05,0.379,0.636,97.508,audio_features,4fT8isC75wJe9CCsJdnNdI,spotify:track:4fT8isC75wJe9CCsJdnNdI,https://api.spotify.com/v1/tracks/4fT8isC75wJe9CCsJdnNdI,https://api.spotify.com/v1/audio-analysis/4fT8isC75wJe9CCsJdnNdI,207000,4
45,0.451,0.963,7,-1.765,1,0.137,0.000202,4.59e-05,0.285,0.343,176.951,audio_features,4xufeilERWMW9rzR4DBkEj,spotify:track:4xufeilERWMW9rzR4DBkEj,https://api.spotify.com/v1/tracks/4xufeilERWMW9rzR4DBkEj,https://api.spotify.com/v1/audio-analysis/4xufeilERWMW9rzR4DBkEj,237533,4
46,0.489,0.86,0,-2.699,1,0.0367,0.000151,0.000235,0.298,0.597,92.532,audio_features,5e9Pocvg3lRkVAsAKeiNio,spotify:track:5e9Pocvg3lRkVAsAKeiNio,https://api.spotify.com/v1/tracks/5e9Pocvg3lRkVAsAKeiNio,https://api.spotify.com/v1/audio-analysis/5e9Pocvg3lRkVAsAKeiNio,188987,4
47,0.472,0.945,7,-2.312,1,0.0698,6.75e-05,9.21e-06,0.351,0.195,105.005,audio_features,4CyFSgFVJT2FHLGU6cJpLQ,spotify:track:4CyFSgFVJT2FHLGU6cJpLQ,https://api.spotify.com/v1/tracks/4CyFSgFVJT2FHLGU6cJpLQ,https://api.spotify.com/v1/audio-analysis/4CyFSgFVJT2FHLGU6cJpLQ,243800,4
48,0.4,0.98,5,-3.117,1,0.155,0.00955,0.0,0.409,0.453,187.468,audio_features,69D1sD80BMNpzCcEheVdmR,spotify:track:69D1sD80BMNpzCcEheVdmR,https://api.spotify.com/v1/tracks/69D1sD80BMNpzCcEheVdmR,https://api.spotify.com/v1/audio-analysis/69D1sD80BMNpzCcEheVdmR,191373,4
49,0.473,0.938,6,-3.072,1,0.0707,0.000444,2.88e-06,0.875,0.362,130.011,audio_features,5l5O5zu4Vnmse6SHbxORDM,spotify:track:5l5O5zu4Vnmse6SHbxORDM,https://api.spotify.com/v1/tracks/5l5O5zu4Vnmse6SHbxORDM,https://api.spotify.com/v1/audio-analysis/5l5O5zu4Vnmse6SHbxORDM,235000,4
50,0.474,0.943,7,-1.973,0,0.0577,3.6e-05,0.000114,0.364,0.423,103.441,audio_features,3oNFRnLXRpP0LsUieNsfbg,spotify:track:3oNFRnLXRpP0LsUieNsfbg,https://api.spotify.com/v1/tracks/3oNFRnLXRpP0LsUieNsfbg,https://api.spotify.com/v1/audio-analysis/3oNFRnLXRpP0LsUieNsfbg,202567,4
51,0.528,0.942,4,-2.603,1,0.0391,0.00512,3.11e-06,0.106,0.547,94.995,audio_features,1ofAXq6xfHjn6ZUxdsY3YW,spotify:track:1ofAXq6xfHjn6ZUxdsY3YW,https://api.spotify.com/v1/tracks/1ofAXq6xfHjn6ZUxdsY3YW,https://api.spotify.com/v1/audio-analysis/1ofAXq6xfHjn6ZUxdsY3YW,265133,4
52,0.404,0.982,0,-3.076,0,0.18,0.00203,0.0,0.292,0.218,137.132,audio_features,4xUfn4ZGawJmOkaPBhLnE6,spotify:track:4xUfn4ZGawJmOkaPBhLnE6,https://api.spotify.com/v1/tracks/4xUfn4ZGawJmOkaPBhLnE6,https://api.spotify.com/v1/audio-analysis/4xUfn4ZGawJmOkaPBhLnE6,216760,4
53,0.271,0.951,8,-2.026,1,0.255,0.000219,0.0,0.382,0.442,98.93,audio_features,6jBbZnXXzWqmJEQEewHcb7,spotify:track:6jBbZnXXzWqmJEQEewHcb7,https://api.spotify.com/v1/tracks/6jBbZnXXzWqmJEQEewHcb7,https://api.spotify.com/v1/audio-analysis/6jBbZnXXzWqmJEQEewHcb7,234967,4
54,0.361,0.976,1,-3.136,1,0.18,0.000373,0.000624,0.457,0.289,166.085,audio_features,6jQlyd5BxicSaSzIsOeMTs,spotify:track:6jQlyd5BxicSaSzIsOeMTs,https://api.spotify.com/v1/tracks/6jQlyd5BxicSaSzIsOeMTs,https://api.spotify.com/v1/audio-analysis/6jQlyd5BxicSaSzIsOeMTs,151461,4
55,0.512,0.946,6,-3.634,1,0.0937,0.155,2.82e-06,0.0902,0.905,89.837,audio_features,62W7xaodfdwWd23frUWd5W,spotify:track:62W7xaodfdwWd23frUWd5W,https://api.spotify.com/v1/tracks/62W7xaodfdwWd23frUWd5W,https://api.spotify.com/v1/audio-analysis/62W7xaodfdwWd23frUWd5W,238800,4
56,0.389,0.984,7,-2.911,1,0.281,0.000715,0.15,0.368,0.23,179.979,audio_features,4H3FpMCBuyUfYjyxeaCeC3,spotify:track:4H3FpMCBuyUfYjyxeaCeC3,https://api.spotify.com/v1/tracks/4H3FpMCBuyUfYjyxeaCeC3,https://api.spotify.com/v1/audio-analysis/4H3FpMCBuyUfYjyxeaCeC3,263773,4
57,0.462,0.962,7,-2.027,0,0.072,0.0058,3.32e-05,0.23,0.557,141.925,audio_features,1qEEDugkMYuH2755rMsyVC,spotify:track:1qEEDugkMYuH2755rMsyVC,https://api.spotify.com/v1/tracks/1qEEDugkMYuH2755rMsyVC,https://api.spotify.com/v1/audio-analysis/1qEEDugkMYuH2755rMsyVC,258260,4
58,0.574,0.964,11,-0.111,0,0.102,0.000833,0.0,0.0361,0.362,129.963,audio_features,2xQCiKLwV1A0WAGTXhUCaI,spotify:track:2xQCiKLwV1A0WAGTXhUCaI,https://api.spotify.com/v1/tracks/2xQCiKLwV1A0WAGTXhUCaI,https://api.spotify.com/v1/audio-analysis/2xQCiKLwV1A0WAGTXhUCaI,227453,4
59,0.452,0.989,11,-2.463,0,0.16,2.7e-05,0.0627,0.0662,0.146,102.536,audio_features,6Nawx5sqYFIbcx2qQgrA67,spotify:track:6Nawx5sqYFIbcx2qQgrA67,https://api.spotify.com/v1/tracks/6Nawx5sqYFIbcx2qQgrA67,https://api.spotify.com/v1/audio-analysis/6Nawx5sqYFIbcx2qQgrA67,204107,4
60,0.451,0.967,8,-2.038,1,0.111,0.00011,8.31e-05,0.167,0.334,101.523,audio_features,2eUHynpMoaQPBbBWtt0yYn,spotify:track:2eUHynpMoaQPBbBWtt0yYn,https://api.spotify.com/v1/tracks/2eUHynpMoaQPBbBWtt0yYn,https://api.spotify.com/v1/audio-analysis/2eUHynpMoaQPBbBWtt0yYn,254926,4
61,0.468,0.961,7,-4.082,1,0.114,0.00364,0.0,0.226,0.31,94.926,audio_features,4MTgIH5OZQHAbdBWgbKSAb,spotify:track:4MTgIH5OZQHAbdBWgbKSAb,https://api.spotify.com/v1/tracks/4MTgIH5OZQHAbdBWgbKSAb,https://api.spotify.com/v1/audio-analysis/4MTgIH5OZQHAbdBWgbKSAb,192400,4
62,0.329,0.991,8,-2.585,1,0.118,0.000898,1.91e-06,0.176,0.406,104.992,audio_features,4BY8C5eGptvIsmVakAD5kw,spotify:track:4BY8C5eGptvIsmVakAD5kw,https://api.spotify.com/v1/tracks/4BY8C5eGptvIsmVakAD5kw,https://api.spotify.com/v1/audio-analysis/4BY8C5eGptvIsmVakAD5kw,220912,4
63,0.276,0.987,7,-2.626,1,0.118,2.84e-05,0.0559,0.298,0.192,187.992,audio_features,4RCzkiaxxmkBgVHXYvs72E,spotify:track:4RCzkiaxxmkBgVHXYvs72E,https://api.spotify.com/v1/tracks/4RCzkiaxxmkBgVHXYvs72E,https://api.spotify.com/v1/audio-analysis/4RCzkiaxxmkBgVHXYvs72E,221880,4
64,0.429,0.951,6,-2.971,0,0.103,0.000486,9.68e-05,0.0806,0.458,94.961,audio_features,7wT05vOCXad1TWs1cefJLb,spotify:track:7wT05vOCXad1TWs1cefJLb,https://api.spotify.com/v1/tracks/7wT05vOCXad1TWs1cefJLb,https://api.spotify.com/v1/audio-analysis/7wT05vOCXad1TWs1cefJLb,253579,4
65,0.371,0.939,1,-2.663,1,0.0809,2.44e-06,0.84,0.3,0.308,108.023,audio_features,5oP611FrfCsyRetlcrSLxi,spotify:track:5oP611FrfCsyRetlcrSLxi,https://api.spotify.com/v1/tracks/5oP611FrfCsyRetlcrSLxi,https://api.spotify.com/v1/audio-analysis/5oP611FrfCsyRetlcrSLxi,169280,4
66,0.489,0.85,9,-7.071,0,0.0709,4.74e-06,0.339,0.342,0.451,105.017,audio_features,7MNZNqSj3BVND9xa57E5rU,spotify:track:7MNZNqSj3BVND9xa57E5rU,https://api.spotify.com/v1/tracks/7MNZNqSj3BVND9xa57E5rU,https://api.spotify.com/v1/audio-analysis/7MNZNqSj3BVND9xa57E5rU,185767,4
67,0.289,0.944,2,-3.092,0,0.11,0.0285,0.0,0.208,0.311,171.766,audio_features,1sqqHAV51z8CPk9TeZOUqg,spotify:track:1sqqHAV51z8CPk9TeZOUqg,https://api.spotify.com/v1/tracks/1sqqHAV51z8CPk9TeZOUqg,https://api.spotify.com/v1/audio-analysis/1sqqHAV51z8CPk9TeZOUqg,293158,4
68,0.466,0.948,5,-4.139,1,0.165,0.014,0.0,0.108,0.288,92.124,audio_features,1a1b22lYmn0y5YPJUGFCqb,spotify:track:1a1b22lYmn0y5YPJUGFCqb,https://api.spotify.com/v1/tracks/1a1b22lYmn0y5YPJUGFCqb,https://api.spotify.com/v1/audio-analysis/1a1b22lYmn0y5YPJUGFCqb,183680,4
69,0.425,0.992,4,-1.868,0,0.132,8.45e-05,0.0402,0.325,0.133,103.949,audio_features,6ODfYZJV7UHzckeBDK7IzK,spotify:track:6ODfYZJV7UHzckeBDK7IzK,https://api.spotify.com/v1/tracks/6ODfYZJV7UHzckeBDK7IzK,https://api.spotify.com/v1/audio-analysis/6ODfYZJV7UHzckeBDK7IzK,199280,4
70,0.505,0.908,10,-4.546,1,0.0347,0.00268,0.0,0.177,0.619,136.079,audio_features,6IngPnGWkpDxPCELCR7ms1,spotify:track:6IngPnGWkpDxPCELCR7ms1,https://api.spotify.com/v1/tracks/6IngPnGWkpDxPCELCR7ms1,https://api.spotify.com/v1/audio-analysis/6IngPnGWkpDxPCELCR7ms1,254840,4
71,0.489,0.973,1,-2.982,1,0.143,4.11e-05,0.782,0.441,0.391,142.083,audio_features,213fcsbfrn69u0vHnrg1Gl,spotify:track:213fcsbfrn69u0vHnrg1Gl,https://api.spotify.com/v1/tracks/213fcsbfrn69u0vHnrg1Gl,https://api.spotify.com/v1/audio-analysis/213fcsbfrn69u0vHnrg1Gl,248925,4
